team,elo_rating,rank
Spain,2058.7978710273796,1
Argentina,2049.4393913955955,2
France,1972.2042200075164,3
England,1968.581348087891,4
Brazil,1913.521651962948,5
Colombia,1899.4976963065092,6
Portugal,1895.8293730285463,7
Netherlands,1883.4809819287111,8
Belgium,1868.1185016137053,9
Morocco,1866.4359007897203,10
Germany,1852.2648030324642,11
Mexico,1848.063097204592,12
Japan,1836.4950840051342,13
Switzerland,1828.9225916323326,14
Italy,1828.6597097515473,15
Croatia,1823.1934326320143,16
Ecuador,1816.8016269047655,17
Norway,1808.5257605079648,18
Uruguay,1805.253446601027,19
Iran,1798.5647805397225,20
Australia,1789.458672648941,21
Turkey,1785.9575234373237,22
Denmark,1773.2719361525096,23
Senegal,1768.9522003466354,24
Paraguay,1765.5792418405865,25
Algeria,1764.3952630852768,26
South Korea,1761.2415372815817,27
Ukraine,1760.762650980973,28
Austria,1752.6473128276373,29
Egypt,1744.212641926507,30
Yugoslavia,1734.497501196713,31
Russia,1733.6830527673794,32
Nigeria,1730.2977689271786,33
Jersey,1730.0390854968,34
Canada,1728.9951136435702,35
United States,1726.084740252634,36
Ivory Coast,1722.6166801605377,37
Venezuela,1694.0844292314814,38
Serbia,1694.0363292940442,39
Scotland,1693.2594078335176,40
Sweden,1691.0302019019955,41
Panama,1689.393279587653,42
Hungary,1689.3803451252163,43
Costa Rica,1688.4097543813693,44
Chile,1686.1227539985755,45
Uzbekistan,1680.4809849982767,46
Poland,1680.3082212480556,47
Greece,1680.1704578651472,48
Peru,1679.8074663179473,49
DR Congo,1674.5277698493853,50
Guernsey,1673.5411388011605,51
Czechoslovakia,1667.2611403461206,52
Wales,1667.1228862636385,53
Cameroon,1659.727898352111,54
Czech Republic,1656.888810018975,55
Iraq,1655.2826902473582,56
Slovenia,1653.8214586983445,57
Mali,1652.133965057214,58
Northern Cyprus,1650.9016280507112,59
Tunisia,1649.0240570746862,60
Saudi Arabia,1649.0069286324667,61
Jordan,1641.5881783665066,62
Slovakia,1639.2193107886626,63
New Zealand,1638.820839520325,64
Republic of Ireland,1637.3017348276928,65
German DR,1636.8885702246841,66
Padania,1636.4890791567966,67
Burkina Faso,1633.7612615405494,68
Honduras,1626.2526011687778,69
Jamaica,1625.9717514494187,70
South Africa,1625.1526206215458,71
Isle of Man,1623.0747367041813,72
Cape Verde,1622.860177279504,73
Romania,1621.7053566413163,74
Ghana,1616.132101815905,75
Haiti,1613.9162314261596,76
Ynys Môn,1610.5908335374097,77
United Arab Emirates,1605.7456427570153,78
Bolivia,1604.5307531478559,79
Kosovo,1603.4569701046241,80
Iraqi Kurdistan,1601.8039326654934,81
Basque Country,1596.4307526526675,82
Occitania,1592.608186317894,83
Guatemala,1591.2357584843185,84
Isle of Wight,1587.0142318766107,85
Israel,1584.899279035402,86
Oman,1581.0399540808783,87
Georgia,1579.8542684648717,88
Bosnia and Herzegovina,1579.2271841223962,89
Abkhazia,1576.831177631171,90
Syria,1576.0265626268947,91
North Macedonia,1571.1535738603386,92
New Caledonia,1570.7609368731482,93
Albania,1568.734060328161,94
Réunion,1568.4321564546512,95
County of Nice,1566.732710800493,96
Catalonia,1565.2744332356467,97
Palestine,1556.743937930123,98
Qatar,1555.5663269167394,99
Iceland,1549.7849687697258,100
Finland,1549.2395814698036,101
Rhodes,1549.201908691285,102
Kárpátalja,1548.7266993887192,103
Guinea,1547.552541403361,104
Suriname,1544.3711590822597,105
Kernow,1544.1338899494508,106
China,1543.7825872880808,107
Andalusia,1543.083037545083,108
Bahrain,1542.6765778258916,109
Northern Ireland,1538.7606747809282,110
Curaçao,1537.5369160684463,111
Tahiti,1536.4702299976616,112
Angola,1536.1822206193292,113
Benin,1535.0673369716658,114
Zambia,1533.6852787499663,115
Kurdistan,1533.3680580625626,116
Gabon,1532.4575019836589,117
Tamil Eelam,1532.4369547083634,118
Ellan Vannin,1530.6531436248654,119
Thailand,1530.6382341327292,120
Trinidad and Tobago,1530.4114642276463,121
Panjab,1530.1745973616646,122
Arameans Suryoye,1529.0823282636584,123
North Korea,1528.449872187868,124
Uganda,1527.6285063081614,125
Artsakh,1525.3855939120465,126
Menorca,1525.2751727457949,127
Chameria,1523.040851454815,128
Guadeloupe,1522.2747146734764,129
Yorkshire,1521.0778653323923,130
Corsica,1519.579570447848,131
Maule Sur,1519.4167345713752,132
Cascadia,1516.7680486642025,133
Crimea,1513.5301316442758,134
Galicia,1512.7790245187311,135
Biafra,1510.6498189133383,136
Quebec,1509.481074996887,137
Felvidék,1508.0007345766278,138
Fiji,1507.4784719739541,139
Surrey,1507.196999934697,140
Elba Island,1506.9001546622937,141
Belarus,1506.2613406265766,142
El Salvador,1505.669154578832,143
Silesia,1505.1022492925088,144
Donetsk PR,1504.6798781586635,145
Martinique,1504.558831180488,146
Libya,1504.4512074730042,147
Parishes of Jersey,1503.8180702960724,148
Brittany,1503.0084228852477,149
Canary Islands,1502.217189412364,150
Monaco,1501.5790409011795,151
Matabeleland,1501.1155344465399,152
Franconia,1500.9080124977606,153
Zanzibar,1500.6873775872432,154
Mapuche,1500.28774368332,155
Vietnam,1498.0963183230645,156
Gambia,1498.0116242934064,157
Délvidék,1497.6129399214635,158
Saugeais,1497.5859119938073,159
Luhansk PR,1497.5085126044767,160
United Koreans in Japan,1496.5394870138696,161
South Ossetia,1496.0539136896598,162
Cilento,1495.7038392266832,163
Greenland,1495.6648147395429,164
Somaliland,1493.9356846804976,165
Ryūkyū,1493.9072991914961,166
Madrid,1492.9069252600198,167
Sealand,1492.8357625499136,168
West Papua,1492.589321978745,169
Mozambique,1492.1534384060515,170
Seborga,1492.082232478011,171
Papua New Guinea,1491.437028835601,172
Guyana,1490.562428939329,173
Åland Islands,1490.0323598905768,174
Chechnya,1489.907050020966,175
Yoruba Nation,1489.756008095178,176
North Vietnam,1488.5727096277853,177
Bulgaria,1488.5706426923862,178
Western Armenia,1488.3978591130126,179
Montenegro,1487.6457118575806,180
Hmong,1487.1733058918346,181
Niue,1484.329535373469,182
Romani people,1483.938603994026,183
Shetland,1483.413843719871,184
Palau,1483.3366515625473,185
Vanuatu,1483.0042677327879,186
South Yemen,1482.1323868580657,187
Kabylia,1481.33152922844,188
East Turkestan,1480.4489037770495,189
Aymara,1480.2955217453048,190
Kenya,1479.6802826149435,191
Malaysia,1478.7403205438497,192
Sudan,1478.651405785501,193
Sierra Leone,1476.9194089662406,194
Republic of St. Pauli,1475.949465459862,195
Western Isles,1474.5167207682616,196
Găgăuzia,1472.8593458941234,197
Kuwait,1472.693127538662,198
Nicaragua,1472.130594560645,199
Lebanon,1471.8130035517077,200
Indonesia,1471.4441366708106,201
Zimbabwe,1471.3401373178967,202
Saint Barthélemy,1470.5473958379976,203
Solomon Islands,1470.2381657851943,204
French Guiana,1469.1269512605502,205
Rouet-Provence,1468.448804831825,206
Equatorial Guinea,1468.2670705783514,207
Tajikistan,1467.6457687321756,208
Vatican City,1467.0219285359371,209
Marshall Islands,1466.7277483079708,210
Madagascar,1466.22754324118,211
Western Sahara,1465.2450648066256,212
Canton Ticino,1464.7728305850176,213
Mayotte,1461.2918047880735,214
Togo,1460.4360224082213,215
Sark,1459.9237940929224,216
Cuba,1459.9020256326287,217
Dominican Republic,1459.0140214441135,218
Namibia,1458.621559872745,219
Comoros,1457.7650070320476,220
Sápmi,1456.6580982096725,221
Niger,1455.8705229755053,222
Micronesia,1454.8292722419242,223
Székely Land,1452.6532512465105,224
Chagos Islands,1450.953791806658,225
Kazakhstan,1449.9556827874458,226
Two Sicilies,1447.1915804351502,227
Gotland,1446.6607454908644,228
Kyrgyzstan,1446.4913191884923,229
Mauritania,1445.2826518462045,230
Western Australia,1442.539208052549,231
Gozo,1441.0188767585946,232
Orkney,1438.8020481923038,233
Provence,1436.7060364947906,234
Rwanda,1435.6205531626401,235
Saint Helena,1435.4606903948193,236
Saint Pierre and Miquelon,1435.2346258017694,237
Barawa,1433.1437027540223,238
Yemen DPR,1430.6719854333398,239
Malawi,1429.428833449875,240
Turkmenistan,1428.327957691601,241
Hitra,1425.4761816229425,242
Tanzania,1424.8126747921206,243
Armenia,1421.6022281901226,244
Liberia,1421.5229399281588,245
Ethiopia,1419.0816065724546,246
Raetia,1419.0566032558484,247
Ambazonia,1417.8102095609324,248
Botswana,1416.842193981588,249
Kiribati,1415.3917936785676,250
Burundi,1414.237452076225,251
Vietnam Republic,1414.0291066581376,252
Lesotho,1413.348817887665,253
Darfur,1409.9992533662685,254
Sint Maarten,1405.9919297949518,255
Guinea-Bissau,1405.640807102379,256
Wallis Islands and Futuna,1403.4534122110877,257
Bermuda,1401.9756333188168,258
Central African Republic,1399.5208159021593,259
Luxembourg,1399.4561500235766,260
Saint Vincent and the Grenadines,1397.2352876378604,261
Puerto Rico,1392.4068343683587,262
Saare County,1386.9669180975943,263
Congo,1386.8413637723038,264
Estonia,1385.0944157986785,265
Philippines,1381.2998134663371,266
Tibet,1381.2499108648246,267
Azerbaijan,1375.8281183883084,268
Saint Kitts and Nevis,1374.6848781458468,269
Tuvalu,1373.7869988426228,270
Samoa,1366.5099771037528,271
Hong Kong,1365.5723100290425,272
Saint Martin,1365.5071301546852,273
Yemen,1364.3739498321345,274
Singapore,1360.8366182650232,275
Falkland Islands,1355.011129455559,276
Saint Lucia,1353.123602822307,277
Grenada,1352.7792750818767,278
Eswatini,1350.0342607879265,279
Belize,1349.2604354015173,280
Montserrat,1349.1010364003505,281
Frøya,1348.9045965488808,282
Cyprus,1345.8954565300326,283
Faroe Islands,1345.5237171698645,284
Cook Islands,1330.7096879182404,285
Bonaire,1328.9115860167367,286
India,1328.0463001009448,287
South Sudan,1320.4384330097798,288
Latvia,1314.853177905411,289
Afghanistan,1313.1929994431173,290
Chad,1312.3027267570762,291
Lithuania,1311.9296615635658,292
Moldova,1309.344935030293,293
Eritrea,1304.0412693927808,294
Aruba,1297.411401049027,295
Dominica,1294.543385210745,296
Antigua and Barbuda,1290.5338616414365,297
Malta,1284.2523575107678,298
Barbados,1281.7831149969509,299
São Tomé and Príncipe,1274.2361170851286,300
Tonga,1270.8072221224738,301
Turks and Caicos Islands,1268.309736865746,302
Mauritius,1264.1355211763464,303
Northern Mariana Islands,1263.9404137585248,304
Myanmar,1256.3396713797727,305
Cayman Islands,1234.2130857948666,306
Bangladesh,1232.147068487035,307
American Samoa,1222.015840312488,308
Nepal,1221.3558906420235,309
Bahamas,1218.7598690056568,310
Alderney,1213.7974274302944,311
Pakistan,1206.8943564566791,312
British Virgin Islands,1197.9814623579136,313
Gibraltar,1193.0580644684055,314
Taiwan,1190.8187264592204,315
United States Virgin Islands,1190.1925365775742,316
Somalia,1184.0016650719094,317
Djibouti,1179.6828074912287,318
Cambodia,1177.4573023049427,319
Mongolia,1177.2438203074319,320
Maldives,1170.698201721235,321
Guam,1167.7658531859804,322
Sri Lanka,1148.7468918887716,323
Andorra,1142.070557080003,324
Seychelles,1139.2611737405307,325
Anguilla,1133.4776366863957,326
Laos,1120.1405270978933,327
Timor-Leste,1102.9365787300683,328
Brunei,1098.0027040756145,329
Liechtenstein,1086.1518829853242,330
Macau,1070.6136460025853,331
Bhutan,1066.521038444486,332
San Marino,964.2830371510028,333
